"id_final","GeomorphicType","LERNZmp","source","z_max","n","label"
"LID 4","Shoreline",NA,"Model",14.8046478333333,190,"Model (n = 190)"
"LID 4","Shoreline",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 4","Shoreline",NA,"GloBATHY",8.62644059812907,119,"GloBATHY (n = 119)"
"LID 4","Shoreline",NA,"FENZ",7.63197183609009,183,"FENZ (n = 183)"
"LID 47","Shoreline",NA,"Model",4.56867683333334,190,"Model (n = 190)"
"LID 47","Shoreline",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 47","Shoreline",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 47","Shoreline",NA,"FENZ",8.98751449584961,183,"FENZ (n = 183)"
"LID 119","Riverine",NA,"Model",3.5505728,190,"Model (n = 190)"
"LID 119","Riverine",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 119","Riverine",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 119","Riverine",NA,"FENZ",8.48125267028809,183,"FENZ (n = 183)"
"LID 229","Tectonic",NA,"Model",NA,190,"Model (n = 190)"
"LID 229","Tectonic",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 229","Tectonic",NA,"GloBATHY",11.7622954262707,119,"GloBATHY (n = 119)"
"LID 229","Tectonic",NA,"FENZ",16.2534561157227,183,"FENZ (n = 183)"
"LID 511","Riverine",NA,"Model",4.56646176666666,190,"Model (n = 190)"
"LID 511","Riverine",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 511","Riverine",NA,"GloBATHY",13.1733083213925,119,"GloBATHY (n = 119)"
"LID 511","Riverine",NA,"FENZ",3.0853157043457,183,"FENZ (n = 183)"
"LID 515","Riverine",NA,"Model",5.07712993333334,190,"Model (n = 190)"
"LID 515","Riverine",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 515","Riverine",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 515","Riverine",NA,"FENZ",3.4291627407074,183,"FENZ (n = 183)"
"LID 1553","Dam",NA,"Model",29.5313119,190,"Model (n = 190)"
"LID 1553","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 1553","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 1553","Dam",NA,"FENZ",3.69000005722046,183,"FENZ (n = 183)"
"LID 1708","Riverine",2.73,"Model",12.1602574,190,"Model (n = 190)"
"LID 1708","Riverine",2.73,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 1708","Riverine",2.73,"GloBATHY",96.8030263019133,119,"GloBATHY (n = 119)"
"LID 1708","Riverine",2.73,"FENZ",2.5,183,"FENZ (n = 183)"
"LID 1974","Aeolian",NA,"Model",4.47935546666667,190,"Model (n = 190)"
"LID 1974","Aeolian",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 1974","Aeolian",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 1974","Aeolian",NA,"FENZ",6.75578927993774,183,"FENZ (n = 183)"
"LID 4345","Aeolian",1.99,"Model",2.77333856666667,190,"Model (n = 190)"
"LID 4345","Aeolian",1.99,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 4345","Aeolian",1.99,"GloBATHY",12.4282998540391,119,"GloBATHY (n = 119)"
"LID 4345","Aeolian",1.99,"FENZ",1.79999995231628,183,"FENZ (n = 183)"
"LID 5264","Glacial",NA,"Model",26.7363832,190,"Model (n = 190)"
"LID 5264","Glacial",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 5264","Glacial",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 5264","Glacial",NA,"FENZ",32.5193367004395,183,"FENZ (n = 183)"
"LID 7386","Glacial",NA,"Model",NA,190,"Model (n = 190)"
"LID 7386","Glacial",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7386","Glacial",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7386","Glacial",NA,"FENZ",17.5139026641846,183,"FENZ (n = 183)"
"LID 7408","Dam",40.49,"Model",62.4019931666668,190,"Model (n = 190)"
"LID 7408","Dam",40.49,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7408","Dam",40.49,"GloBATHY",7.13852987609373,119,"GloBATHY (n = 119)"
"LID 7408","Dam",40.49,"FENZ",222.20100402832,183,"FENZ (n = 183)"
"LID 7409","Dam",91,"Model",120.682767333333,190,"Model (n = 190)"
"LID 7409","Dam",91,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7409","Dam",91,"GloBATHY",31.159488319616,119,"GloBATHY (n = 119)"
"LID 7409","Dam",91,"FENZ",120,183,"FENZ (n = 183)"
"LID 7506","Dam",NA,"Model",50.8845037666666,190,"Model (n = 190)"
"LID 7506","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7506","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7506","Dam",NA,"FENZ",161.420684814453,183,"FENZ (n = 183)"
"LID 7633","Dam",45,"Model",91.1604611999999,190,"Model (n = 190)"
"LID 7633","Dam",45,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7633","Dam",45,"GloBATHY",15.152335163944,119,"GloBATHY (n = 119)"
"LID 7633","Dam",45,"FENZ",148.876876831055,183,"FENZ (n = 183)"
"LID 7640","Riverine",NA,"Model",17.4472555333333,190,"Model (n = 190)"
"LID 7640","Riverine",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7640","Riverine",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7640","Riverine",NA,"FENZ",19.058910369873,183,"FENZ (n = 183)"
"LID 7657","Dam",NA,"Model",30.4291894666666,190,"Model (n = 190)"
"LID 7657","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7657","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7657","Dam",NA,"FENZ",32.2886047363281,183,"FENZ (n = 183)"
"LID 7660","Dam",NA,"Model",33.1908592,190,"Model (n = 190)"
"LID 7660","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7660","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7660","Dam",NA,"FENZ",33.2543983459473,183,"FENZ (n = 183)"
"LID 7688","Dam",NA,"Model",15.9519398333333,190,"Model (n = 190)"
"LID 7688","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7688","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7688","Dam",NA,"FENZ",26.1473846435547,183,"FENZ (n = 183)"
"LID 7689","Dam",NA,"Model",15.2719795333334,190,"Model (n = 190)"
"LID 7689","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7689","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7689","Dam",NA,"FENZ",26.2711639404297,183,"FENZ (n = 183)"
"LID 7748","Dam",NA,"Model",17.3201527333333,190,"Model (n = 190)"
"LID 7748","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7748","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7748","Dam",NA,"FENZ",43.9482345581055,183,"FENZ (n = 183)"
"LID 7777","Dam",NA,"Model",18.6295201,190,"Model (n = 190)"
"LID 7777","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7777","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7777","Dam",NA,"FENZ",49.408561706543,183,"FENZ (n = 183)"
"LID 7901","Dam",NA,"Model",25.1376684333333,190,"Model (n = 190)"
"LID 7901","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 7901","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 7901","Dam",NA,"FENZ",18.8347549438477,183,"FENZ (n = 183)"
"LID 8890","Dam",NA,"Model",17.8875067666667,190,"Model (n = 190)"
"LID 8890","Dam",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 8890","Dam",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 8890","Dam",NA,"FENZ",18.6011371612549,183,"FENZ (n = 183)"
"LID 11133","Volcanic",45.268,"Model",55.3609588666667,190,"Model (n = 190)"
"LID 11133","Volcanic",45.268,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 11133","Volcanic",45.268,"GloBATHY",20.647182317864,119,"GloBATHY (n = 119)"
"LID 11133","Volcanic",45.268,"FENZ",44.7999992370605,183,"FENZ (n = 183)"
"LID 11138","Volcanic",NA,"Model",40.0890533,190,"Model (n = 190)"
"LID 11138","Volcanic",NA,"Hydrolakes",NA,NA,"Hydrolakes (n = 0)"
"LID 11138","Volcanic",NA,"GloBATHY",NA,119,"GloBATHY (n = 119)"
"LID 11138","Volcanic",NA,"FENZ",33.1701164245605,183,"FENZ (n = 183)"
"LID 11614","Dam",NA,"Model",26.1346383,190,"Model (n = 190)"
