"id_final","GeomorphicType","LERNZmp","source","z_mean","n","label"
"LID 4","Shoreline",NA,"Model",9.02922329809531,155,"Model (n = 155)"
"LID 4","Shoreline",NA,"Hydrolakes",5.09999990463257,91,"Hydrolakes (n = 91)"
"LID 4","Shoreline",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 4","Shoreline",NA,"FENZ",2.54437274029801,155,"FENZ (n = 155)"
"LID 47","Shoreline",NA,"Model",2.25278738352474,155,"Model (n = 155)"
"LID 47","Shoreline",NA,"Hydrolakes",12.3999996185303,91,"Hydrolakes (n = 91)"
"LID 47","Shoreline",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 47","Shoreline",NA,"FENZ",2.99604001026689,155,"FENZ (n = 155)"
"LID 119","Riverine",NA,"Model",1.79136791984639,155,"Model (n = 155)"
"LID 119","Riverine",NA,"Hydrolakes",1.39999997615814,91,"Hydrolakes (n = 91)"
"LID 119","Riverine",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 119","Riverine",NA,"FENZ",2.82725831866854,155,"FENZ (n = 155)"
"LID 229","Tectonic",NA,"Model",NA,155,"Model (n = 155)"
"LID 229","Tectonic",NA,"Hydrolakes",6.90000009536743,91,"Hydrolakes (n = 91)"
"LID 229","Tectonic",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 229","Tectonic",NA,"FENZ",5.41814668215927,155,"FENZ (n = 155)"
"LID 511","Riverine",NA,"Model",2.20602882163641,155,"Model (n = 155)"
"LID 511","Riverine",NA,"Hydrolakes",2,91,"Hydrolakes (n = 91)"
"LID 511","Riverine",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 511","Riverine",NA,"FENZ",1.02840546842758,155,"FENZ (n = 155)"
"LID 515","Riverine",NA,"Model",2.35498987196332,155,"Model (n = 155)"
"LID 515","Riverine",NA,"Hydrolakes",1.60000002384186,91,"Hydrolakes (n = 91)"
"LID 515","Riverine",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 515","Riverine",NA,"FENZ",1.14301334265907,155,"FENZ (n = 155)"
"LID 1553","Dam",NA,"Model",8.91368358210051,155,"Model (n = 155)"
"LID 1553","Dam",NA,"Hydrolakes",42,91,"Hydrolakes (n = 91)"
"LID 1553","Dam",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 1553","Dam",NA,"FENZ",1.22869182228141,155,"FENZ (n = 155)"
"LID 1708","Riverine",1.64644499158312,"Model",9.62248004582717,155,"Model (n = 155)"
"LID 1708","Riverine",1.64644499158312,"Hydrolakes",13.3999996185303,91,"Hydrolakes (n = 91)"
"LID 1708","Riverine",1.64644499158312,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 1708","Riverine",1.64644499158312,"FENZ",0.833303271403983,155,"FENZ (n = 155)"
"LID 1974","Aeolian",NA,"Model",2.77724442041287,155,"Model (n = 155)"
"LID 1974","Aeolian",NA,"Hydrolakes",3.70000004768372,91,"Hydrolakes (n = 91)"
"LID 1974","Aeolian",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 1974","Aeolian",NA,"FENZ",2.25138876682649,155,"FENZ (n = 155)"
"LID 4345","Aeolian",1.37239090245804,"Model",1.80234345779781,155,"Model (n = 155)"
"LID 4345","Aeolian",1.37239090245804,"Hydrolakes",2.29999995231628,91,"Hydrolakes (n = 91)"
"LID 4345","Aeolian",1.37239090245804,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 4345","Aeolian",1.37239090245804,"FENZ",0.599838764900592,155,"FENZ (n = 155)"
"LID 5264","Glacial",NA,"Model",13.9296275123012,155,"Model (n = 155)"
"LID 5264","Glacial",NA,"Hydrolakes",5.69999980926514,91,"Hydrolakes (n = 91)"
"LID 5264","Glacial",NA,"GloBATHY",NA,NA,"GloBATHY (n = 0)"
"LID 5264","Glacial",NA,"FENZ",10.8318013112689,155,"FENZ (n = 155)"
"LID 7386","Glacial",NA,"Model",NA,155,"Model (n = 155)"
