"id_final","name_final","elevation","z_max","z_mean","area_Ha","DV","form_DV","V","source","lon","lat"
"LID 1","Onoke",1.8888642787933,8.719,4.33343045711919,653.4732,1.49103009190934,"Convex",28317806.6779114,"LERNZmp",175.126837639398,-41.3826672675459
"LID 7","Karori Reservoir Upper",145.7346496582,19.575,10.3169754142882,2.5212,1.58114565736218,"Concave",260111.584145035,"LERNZmp",174.751846228899,-41.2924082229625
"LID 1708","Wairarapa",0.62000000476837,2.73,1.64644499158312,7026.5448,1.8092802105309,"Concave",115688194.940944,"LERNZmp",175.215578650872,-41.2364085651421
"LID 4345","Horowhenua",11,1.99,1.37239090245804,309.7072,2.06893100873072,"Concave",4250393.43705754,"LERNZmp",175.253260661985,-40.6075363674385
"LID 5042",NA,10.0371913909912,1.2,NA,13.9369883981368,NA,NA,NA,"LERNZmp",175.265724395334,-40.3417273265435
"LID 6914","Blue Lake",538.48999023438,19.42,9.55082520480022,9.8564,1.47541069075184,"Convex",941367.535485929,"LERNZmp",169.81038896158,-44.8665929129622
"LID 7408","Lake Aviemore",269,40.49,15.6169229145796,2909.752,1.15709480720521,"Convex",454413726.845439,"LERNZmp",170.292930951906,-44.6112607195852
"LID 7409","Lake Benmore",362,91,23.6625914487666,7790.0888,0.78008543237692,"Convex",1843336886.24012,"LERNZmp",170.214109761865,-44.4558845956437
"LID 7633",NA,478.465606689453,45,NA,521.399237159626,NA,NA,NA,"LERNZmp",169.326734398329,-45.366450976611
"LID 11133","Rotorua",284.87753295898,45.268,13.183043647113,8066.0632,0.873666407646436,"Convex",1063352632.25972,"LERNZmp",176.271884527316,-38.0867174350234
"LID 12307",NA,231,40,NA,566.87691131876,NA,NA,NA,"LERNZmp",170.396308844897,-44.6736474838553
"LID 12591","Parangi",47.242599487305,17.733,9.14889529382425,11.6988,1.5477745379503,"Concave",1070310.96263391,"LERNZmp",174.811364655054,-38.0365152193102
"LID 12830","Harihari",17.504114151001,9.724,4.53448916014753,18.0936,1.39895798852762,"Convex",820452.330680453,"LERNZmp",174.723546017033,-38.2101964227414
"LID 12872",NA,11,6.5,NA,23.1016560485233,NA,NA,NA,"LERNZmp",174.725784980572,-38.1829196979376
"LID 12873","Numiti",7.839216709137,10.509,5.06970466187151,17.6868,1.44724654920683,"Convex",896668.524135891,"LERNZmp",174.729274334578,-38.1784424247237
"LID 13278","Rotongaio",357.99838256836,21.458,10.4873307826428,34.5128,1.46621271078052,"Convex",3619471.49835193,"LERNZmp",176.057626850253,-38.8074342829131
"LID 13437","Lake William",97,9.93,4.38549684450017,7.3148,1.32492351797588,"Convex",320790.323181499,"LERNZmp",175.310499220323,-40.1228149703786
"LID 13447","Lake Dudding",87.502998352051,10.503,2.95957754032191,9.1228,0.845352053790892,"Convex",269996.339848487,"LERNZmp",175.280088317548,-40.1004723958889
"LID 13467","Waiparera",31.194999694824,5.155,2.7814696780411,108.09,1.61870204347687,"Concave",3006490.57499462,"LERNZmp",173.180373458731,-34.9446091003302
"LID 13857",NA,244.705337524414,16.5,NA,116.559289324768,NA,NA,NA,"LERNZmp",175.692834336944,-38.3109128632213
"LID 13873",NA,240.450637817383,38,NA,539.030733686179,NA,NA,NA,"LERNZmp",175.818572781985,-38.4314771581496
"LID 13876",NA,202.650192260742,61,NA,400.572465387924,NA,NA,NA,"LERNZmp",175.787410645224,-38.3683518512979
"LID 13915",NA,360.045379638672,27,NA,65.5394067532172,NA,NA,NA,"LERNZmp",176.187071319765,-38.6311587559219
"LID 13957","Atiamuri",257,21.84,2.04496777549236,207.1932,0.280902166963236,"Convex",4237034.17301144,"LERNZmp",176.026925490517,-38.3830820694783
"LID 13970","Ohakuri",294,37.48,14.6772745496051,492.456,1.17480852851695,"Convex",72279119.1560034,"LERNZmp",176.105404034441,-38.4120697989682
"LID 14071","Tutaeinanga",491.5026550293,12.603,5.152304889465,2.9396,1.22644724814687,"Convex",151457.154530713,"LERNZmp",176.322153428196,-38.3329643073021
"LID 14179","Ngapouri",472,25.86,11.9616597647524,21.55,1.38766354579495,"Convex",2577737.67930415,"LERNZmp",176.335456405644,-38.3386887897942
"LID 14205",NA,389.626403808594,14,NA,2.38637353649652,NA,NA,NA,"LERNZmp",176.374144227907,-38.3223050922042
"LID 14208","Ngahewa",412,7.82,3.42783749320374,8.2364,1.31502717130578,"Convex",282330.407290233,"LERNZmp",176.373547214153,-38.3151698975347
"LID 14290","Okaro",411.34521484375,19.945,11.7244613199534,30.466,1.76351887489898,"Concave",3571974.385737,"LERNZmp",176.394604762157,-38.2984735749449
"LID 14405","Mangakaware",28,4.63,2.69045452663746,14.9396,1.74327507125538,"Concave",401943.14446153,"LERNZmp",175.220360995967,-37.9339493108257
"LID 14406","Ngaroto",34.123992919922,3.314,1.92189386416604,99.788,1.73979529043396,"Concave",1917819.44917401,"LERNZmp",175.288986802412,-37.9534867704816
"LID 14408","Ruatuna",37.99242401123,2.402,1.59916327526245,13.0684,1.99728968600639,"Concave",208985.053464398,"LERNZmp",175.290588373245,-37.92729061441
"LID 14418","Mangahia",32,2.35,1.49254719390058,9.1572,1.90537939646882,"Concave",136675.531639864,"LERNZmp",175.228110651701,-37.8794993295113
"LID 14420","Lake Milicich",44,2.28,1.57235116480407,1.9084,2.0688831115843,"Concave",30006.7496291208,"LERNZmp",175.248947286992,-37.8852574065592
