"id_final","z_max","z_mean","area_Ha","source"
"LID 1",8.719,4.33343045711919,651.795951501211,"LERNZmp"
"LID 3",NA,NA,10.8200192492265,"LERNZmp"
"LID 4",NA,NA,21.3110285065639,"LERNZmp"
"LID 6",NA,NA,3.07089303548113,"LERNZmp"
"LID 7",19.575,10.3169754142882,2.35786885745952,"LERNZmp"
"LID 8",NA,NA,1.68904003951773,"LERNZmp"
"LID 47",NA,NA,1.60609803873496,"LERNZmp"
"LID 70",NA,NA,1.11812812310932,"LERNZmp"
"LID 113",NA,NA,4.19045719580571,"LERNZmp"
"LID 119",NA,NA,41.8747773128193,"LERNZmp"
"LID 195",NA,NA,3.09689209398241,"LERNZmp"
"LID 229",NA,NA,47.8901849278393,"LERNZmp"
"LID 298",NA,NA,1.94858680240614,"LERNZmp"
"LID 299",NA,NA,9.1660089128457,"LERNZmp"
"LID 300",NA,NA,6.57900678314697,"LERNZmp"
"LID 301",NA,NA,10.5868485623971,"LERNZmp"
"LID 325",NA,NA,2.75842914550519,"LERNZmp"
"LID 332",NA,NA,1.50861876164153,"LERNZmp"
"LID 337",NA,NA,1.01820153389722,"LERNZmp"
"LID 338",NA,NA,1.6216233959483,"LERNZmp"
"LID 345",NA,NA,2.69133439975986,"LERNZmp"
"LID 349",NA,NA,2.35279962844513,"LERNZmp"
"LID 352",NA,NA,1.51939669328108,"LERNZmp"
"LID 380",NA,NA,2.60520747275446,"LERNZmp"
"LID 381",NA,NA,12.2693631089915,"LERNZmp"
"LID 402",NA,NA,1.14969389710347,"LERNZmp"
"LID 465",NA,NA,1.6954046805473,"LERNZmp"
"LID 468",NA,NA,1.22879610891578,"LERNZmp"
"LID 476",NA,NA,9.54015797252953,"LERNZmp"
"LID 477",NA,NA,2.67260897608921,"LERNZmp"
"LID 484",NA,NA,1.14815615234557,"LERNZmp"
"LID 491",NA,NA,1.02646157054231,"LERNZmp"
"LID 501",NA,NA,1.11203454297939,"LERNZmp"
"LID 505",NA,NA,6.98546887690164,"LERNZmp"
"LID 506",NA,NA,3.21999684481481,"LERNZmp"
"LID 507",NA,NA,10.6972463812066,"LERNZmp"
"LID 508",NA,NA,1.24042911209129,"LERNZmp"
"LID 509",NA,NA,2.56941335291713,"LERNZmp"
"LID 511",NA,NA,37.3386287597945,"LERNZmp"
"LID 512",NA,NA,5.32926603814438,"LERNZmp"
"LID 515",NA,NA,58.2271090074896,"LERNZmp"
"LID 524",NA,NA,2.96947074693143,"LERNZmp"
"LID 583",NA,NA,1.26458110441081,"LERNZmp"
"LID 656",NA,NA,2.12463845424056,"LERNZmp"
"LID 664",NA,NA,2.34142519308981,"LERNZmp"
"LID 667",NA,NA,3.59949907862525,"LERNZmp"
"LID 671",NA,NA,4.3508976678459,"LERNZmp"
"LID 672",NA,NA,3.37667410177253,"LERNZmp"
"LID 690",NA,NA,2.46079196306504,"LERNZmp"
"LID 791",NA,NA,1.1990874463411,"LERNZmp"
"LID 831",NA,NA,15.7808632399604,"LERNZmp"
"LID 841",NA,NA,5.84917960065268,"LERNZmp"
"LID 843",NA,NA,2.58431219187891,"LERNZmp"
"LID 847",NA,NA,6.90839788750061,"LERNZmp"
"LID 855",NA,NA,1.21381331712347,"LERNZmp"
"LID 856",NA,NA,1.61953047628459,"LERNZmp"
"LID 869",NA,NA,5.31222436061433,"LERNZmp"
"LID 870",NA,NA,3.6970198155351,"LERNZmp"
"LID 871",NA,NA,3.97221942769224,"LERNZmp"
"LID 877",NA,NA,2.38406252182936,"LERNZmp"
"LID 885",NA,NA,3.61485193024725,"LERNZmp"
"LID 886",NA,NA,2.17245029471349,"LERNZmp"
"LID 1416",NA,NA,1.35167042231858,"LERNZmp"
"LID 1420",NA,NA,1.2849387681663,"LERNZmp"
"LID 1491",NA,NA,3.57727225807197,"LERNZmp"
"LID 1492",NA,NA,1.0979254625326,"LERNZmp"
